user_id,tenant_company,tenant_first_name,tenant_name,owner_name,owner_email,tenant_gender,tenant_address,num_lot,monthly_rent,rent_balance,overdue_days,next_revision,end_date,nature,Départ
1,BANQUE POPULAIRE COTE D AZUR,Carine,SOUCHET,Philippe FOUCHER,philippefoucher@gmail.com,F,1 ALLEE BERNADOTTE,0001,900,0,0,12/18/2017,12/18/2018,Commercial 3 ans,12/18/2015
1,PRICEWATERHOUSECOOPERS ENTREPRISES,Bob,RENIER,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0002,1020,0,0,1/13/2018,1/13/2020,Commercial 3 ans,1/13/2017
1,COTE D'AZUR SOTHEBY'S INTERNATIONAL REALTY,Christophe,DERO,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0003,310,0,0,6/15/2017,6/15/2019,Commercial 3 ans,6/15/2016
1,ALLIOS SAS,Damien,DEREN,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0004,4750,0,0,9/1/2017,9/1/2019,Commercial 3 ans,9/1/2016
1,W I T,Olivier,MARCHAND,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0005,2150,0,0,2/19/2018,6/1/2018,Commercial 3 ans,6/1/2015
1,SAS MUST,Herve,GACHET,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0006,3840,0,0,8/25/2017,8/25/2018,Commercial 3 ans,8/25/2015
1,GUIBAN MÉDITERRANÉE,Marc,BLOHORN,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0007,4040,0,0,3/15/2018,3/15/2020,Commercial 3 ans,3/15/2017
1,GROUPE PAVILLON,Jean Charles,SCHMITT,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0008,2690,0,0,2/1/2018,2/1/2020,Commercial 3 ans,2/1/2017
1,PARFUMS MOLINARD,Nicolas,GUIR,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0009,4460,0,0,8/18/2017,8/18/2019,Commercial 3 ans,8/18/2016
1,AZURLINGUA,Christophe,BOURGERY,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0010,2620,0,0,3/17/2018,3/17/2020,Commercial 3 ans,3/17/2017
1,E R D F,Sebastien,REGIS,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0011,730,0,0,12/23/2017,12/23/2019,Commercial 3 ans,12/23/2016
1,ALISTER AVOCATS,Martine,HILLAIRET,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0013,4630,0,0,1/28/2018,1/28/2019,Commercial 3 ans,1/28/2016
1,PAYAN BERTRAND,Werner,GAUDEFROY,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,0014,4560,0,0,11/1/2017,11/1/2017,Commercial 3 ans,11/1/2014
1,MIDI MAS,Anne-Catherine,BREARD-GOULVEN,Antoine MALLET,antoinemallet@gmail.com,F,10 PASSAGE MONTBRUN,0001,860,8600,296,8/30/2017,8/30/2019,Commercial 3 ans,8/30/2016
1,LABORATOIRE ENEOMEY,Patrick,LETOURNEUR,Antoine MALLET,antoinemallet@gmail.com,F,10 PASSAGE MONTBRUN,0002,1090,0,0,10/25/2017,10/25/2019,Commercial 3 ans,10/25/2016
1,TOURNAIRE SA,damien,RICHET,Pierre-Alain HILARIO,pierre-alainhilario@gmail.com,F,10 Rue Bochart De Saron,0001,790,0,0,3/4/2018,3/4/2019,Commercial 3 ans,3/4/2016
1,etoile du rhone,Thomas,DELOBEL,Pierre-Alain HILARIO,pierre-alainhilario@gmail.com,F,10 Rue Bochart De Saron,0006,2690,0,0,5/11/2017,5/11/2018,Commercial 3 ans,5/11/2015
1,apm,Jean Francois,GOUGENHEIM,Jean-Pierre SAMMAN,jean-pierresamman@gmail.com,F,103 RUE DU THEATRE,0100,2300,0,0,8/31/2017,8/31/2018,Commercial 3 ans,8/31/2015
1,UVICA-VIGNERONS ARDECHOIS,Francois,LE DENIC,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,0005,3910,0,0,4/29/2017,4/29/2017,Commercial 3 ans,4/29/2014
1,BOIRON FRÈRES SAS,Franck,ARLIGUIE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,0007,2940,0,0,4/24/2017,4/24/2018,Commercial 3 ans,4/24/2015
